run_id,filename,speaker,label,dataset,channel,duration_s,sample_rate,vad_status,speech_s,score,checkpoint,frozen_commit,notes
transplant,alia_bonafide,ifd_alia,genuine,ifd,broadcast,5.000000,16000,PASS,3.200000,0.461596,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path A, alia bonafide"
transplant,alia_bonafide_exotel,ifd_alia,genuine,ifd,phone_g711_sim,5.000000,16000,PASS,3.280000,0.999593,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path C, alia bonafide; SIMULATED G.711 mu-law from path B, not a real call; speaker_volume=100%, system slider, unchanged across all ten clips; phone_model=iPhone 17, Voice Memos, Lossless; distance_cm=25; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -42.1 dBFS, speech -22.0 dBFS, SNR 20.1 dB, peak -6.9 dBFS, no clipping"
transplant,alia_bonafide_phone,ifd_alia,genuine,ifd,phone,5.000000,16000,PASS,3.280000,0.999601,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path B, alia bonafide; speaker_volume=100%, system slider, unchanged across all ten clips; phone_model=iPhone 17, Voice Memos, Lossless; distance_cm=25; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -42.1 dBFS, speech -22.0 dBFS, SNR 20.1 dB, peak -6.9 dBFS, no clipping"
transplant,alia_deepfake,ifd_alia,spoof,ifd,broadcast,5.888000,16000,PASS,3.420000,0.999488,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path A, alia deepfake"
transplant,alia_deepfake_exotel,ifd_alia,spoof,ifd,phone_g711_sim,5.888000,16000,PASS,3.120000,0.999564,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path C, alia deepfake; SIMULATED G.711 mu-law from path B, not a real call; speaker_volume=100%, system slider, unchanged across all ten clips; phone_model=iPhone 17, Voice Memos, Lossless; distance_cm=25; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -42.1 dBFS, speech -22.0 dBFS, SNR 20.1 dB, peak -6.9 dBFS, no clipping"
transplant,alia_deepfake_phone,ifd_alia,spoof,ifd,phone,5.888000,16000,PASS,3.120000,0.999561,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path B, alia deepfake; speaker_volume=100%, system slider, unchanged across all ten clips; phone_model=iPhone 17, Voice Memos, Lossless; distance_cm=25; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -42.1 dBFS, speech -22.0 dBFS, SNR 20.1 dB, peak -6.9 dBFS, no clipping"
transplant,cb_bonafide,ifd_cb,genuine,ifd,broadcast,6.528000,16000,PASS,3.880000,0.962188,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path A, cb bonafide"
transplant,cb_bonafide_exotel,ifd_cb,genuine,ifd,phone_g711_sim,6.528000,16000,PASS,5.460000,0.999477,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path C, cb bonafide; SIMULATED G.711 mu-law from path B, not a real call; speaker_volume=100%, system slider, unchanged across all ten clips; phone_model=iPhone 17, Voice Memos, Lossless; distance_cm=25; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -42.1 dBFS, speech -22.0 dBFS, SNR 20.1 dB, peak -6.9 dBFS, no clipping"
transplant,cb_bonafide_phone,ifd_cb,genuine,ifd,phone,6.528000,16000,PASS,5.460000,0.999360,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path B, cb bonafide; speaker_volume=100%, system slider, unchanged across all ten clips; phone_model=iPhone 17, Voice Memos, Lossless; distance_cm=25; room=unrecorded at capture time; background_noise=unrecorded at capture time; measured from the take: noise floor -42.1 dBFS, speech -22.0 dBFS, SNR 20.1 dB, peak -6.9 dBFS, no clipping"
transplant,cb_deepfake,ifd_cb,spoof,ifd,broadcast,5.237375,16000,PASS,3.200000,0.999526,Best_LA_model_for_DF.pth,fa8f00e5664836a0ce39ee41fbe7ab61c75d42a8,"path A, cb deepfake"
